Tyler Wilson,P,BAL
Mychal Givens,P,BAL
Francisco Pena,F,BAL
Matt Barnes,P,BOS
Ryan LaMarre,F,BOS
Heath Hembree,P,BOS
Eduardo Rodriguez,P,BOS
Roberto Osuna,P,TOR
Darrell Ceciliani,F,TOR
Chad Girodo,P,TOR
Ronald Torreyes,F,NYY
Kirby Yates,P,NYY
Rob Refsnyder,F,NYY
Nick Goody,P,NYY
Dellin Betances,P,NYY
Curt Casali,F,TBR
Blake Snell,P,TBR
Taylor Motter,F,TBR
Jaff Decker,F,TBR
Steve Geltz,P,TBR
Enny Romero,P,TBR
Mikie Mahtook,F,TBR
Tyler Sturdevant,P,TBR
Michael Martinez,F,CLE
Tyler Naquin,F,CLE
Michael Fulmer,P,DET
Alex Wilson,P,DET
Joakim Soria,P,KCR
Brett Eibner,F,KCR
Whit Merrifield,F,KCR
Cheslor Cuthbert,F,KCR
Michael Ynoa,P,CWS
Matt Purke,P,CWS
Tyler Saladino,F,CWS
Michael Tonkin,P,MIN
Neil Ramirez,P,MIN
Tyler Duffey,P,MIN
Buddy Boshers,P,MIN
Taylor Rogers,P,MIN
Ryan Pressly,P,MIN
Alex Claudio,P,TEX
Ryan Rua,F,TEX
Jake Diekman,P,TEX
Jurickson Profar,F,TEX
Nori Aoki,F,SEA
Edwin Diaz,P,SEA
Adrian Sampson,P,SEA
Jonathan Aro,P,SEA
Dae-ho Lee,F,SEA
Franklin Gutierrez,F,SEA
Shawn O'Malley,F,SEA
Mike Montgomery,P,SEA
Michael Feliz,P,HOU
Chris Devenski,P,HOU
Ken Giles,P,HOU
Tony Kemp,F,HOU
Jefry Marte,F,LAA
Jett Bandy,F,LAA
Mike Morin,P,LAA
Cam Bedrosian,P,LAA
A.J. Achter,P,LAA
Deolis Guerra,P,LAA
Ryan Madson,P,OAK
Andrew Triggs,P,OAK
Daniel Mengden,P,OAK
Daniel Coulombe,P,OAK
Ryan Dull,P,OAK
Zach Neal,P,OAK
Felipe Rivero,P,WAS
Sammy Solis,P,WAS
Joe Ross,P,WAS
Hansel Robles,P,NYM
Ty Kelly,F,NYM
Erik Goeddel,P,NYM
Steven Matz,P,NYM
Justin Nicolino,P,MIA
Nick Wittgren,P,MIA
Adam Conley,P,MIA
Brian Ellington,P,MIA
Kyle Barraclough,P,MIA
Zach Eflin,P,PHI
Tyler Goeddel,F,PHI
Aaron Nola,P,PHI
Elvis Araujo,P,PHI
Jerad Eickhoff,P,PHI
Tommy Joseph,F,PHI
Adam Morgan,P,PHI
Hector Neris,P,PHI
Chris Withrow,P,ATL
Adonis Garcia,F,ATL
Matt Wisler,P,ATL
Mallex Smith,F,ATL
Ian Krol,P,ATL
John Gant,P,ATL
Brandon Snyder,F,ATL
Tyrell Jenkins,P,ATL
Hunter Cervenka,P,ATL
Dario Alvarez,P,ATL
Arodys Vizcaino,P,ATL
Chase d'Arnaud,F,ATL
Matt Szczur,F,CHC
Hector Rondon,P,CHC
Jameson Taillon,P,PIT
A.J. Schugel,P,PIT
Arquimedes Caminero,P,PIT
Jorge Rondon,P,PIT
Jon Niese,P,PIT
Curtis Partch,P,PIT
Stephen Piscotty,F,STL
Seung-hwan Oh,P,STL
Tommy Pham,F,STL
Kevin Siegrist,P,STL
Seth Maness,P,STL
Blaine Boyer,P,MIL
Corey Knebel,P,MIL
Keon Broxton,F,MIL
Junior Guerra,P,MIL
Zach Davies,P,MIL
Cody Reed,P,CIN
J.C. Ramirez,P,CIN
Brandon Finnegan,P,CIN
Ivan De Jesus,F,CIN
Ramon Cabrera,F,CIN
Jose Peraza,F,CIN
John Lamb,P,CIN
Josh Smith,P,CIN
Kyle Waldrop,F,CIN
Blake Wood,P,CIN
Tyler Holt,F,CIN
Chris Stratton,P,SFG
Josh Osich,P,SFG
Derek Law,P,SFG
Steven Okert,P,SFG
Albert Suarez,P,SFG
Hunter Strickland,P,SFG
Trevor Brown,F,SFG
Julio Urias,P,LAD
Pedro Baez,P,LAD
Adam Liberatore,P,LAD
Scott Oberg,P,COL
Carlos Estevez,P,COL
Cristhian Adames,F,COL
Miguel Castro,P,COL
Gonzalez Germen,P,COL
Justin Miller,P,COL
Peter O'Brien,F,ARI
Philip Gosselin,F,ARI
Zack Godley,P,ARI
Socrates Brito,F,ARI
Kevin Quackenbush,P,SDP
Travis Jankowski,F,SDP
Luis Perdomo,P,SDP
Ryan Buchter,P,SDP
