"","P1","P2","P3","P4","P5","P6","P7","P8","P9","Points"
"1","Pedro Alvarez","Matt Wieters","Jose Abreu","Jose Fernandez","Troy Tulowitzki","Miguel Cabrera","Prince Fielder","Logan Forsythe","Steven Souza Jr.","118.482766666688"
"2","Pedro Alvarez","Jose Abreu","Jose Fernandez","Russell Martin","Miguel Cabrera","Rougned Odor","Prince Fielder","Carlos Correa","Steven Souza Jr.","118.472600000032"
"3","Pedro Alvarez","Jose Abreu","Brett Lawrie","Jose Fernandez","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Prince Fielder","Steven Souza Jr.","118.390000000032"
"4","Pedro Alvarez","Jose Abreu","Jose Fernandez","Troy Tulowitzki","Miguel Cabrera","Prince Fielder","Logan Forsythe","Curt Casali","Steven Souza Jr.","118.288200000032"
"5","Pedro Alvarez","Jose Abreu","Jose Fernandez","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Prince Fielder","Jurickson Profar","Steven Souza Jr.","118.27593333336"
"6","Jose Abreu","Jose Fernandez","Russell Martin","Miguel Cabrera","Prince Fielder","Alex Rodriguez","Carlos Correa","Logan Forsythe","Steven Souza Jr.","118.243500000032"
"7","Pedro Alvarez","Jose Abreu","Jose Fernandez","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Devon Travis","Prince Fielder","Steven Souza Jr.","118.195166666704"
"8","Pedro Alvarez","Jose Abreu","Jose Fernandez","Miguel Cabrera","Prince Fielder","Evan Gattis","Carlos Correa","Logan Forsythe","Steven Souza Jr.","118.192900000032"
"9","Pedro Alvarez","Jose Abreu","Jose Fernandez","Troy Tulowitzki","Miguel Cabrera","Prince Fielder","Derek Norris","Logan Forsythe","Steven Souza Jr.","118.171300000032"
"10","Jose Abreu","Jose Fernandez","Russell Martin","Prince Fielder","Mark Teixeira","Carlos Correa","Logan Forsythe","Evan Longoria","Steven Souza Jr.","118.1623"
